Force,Displacement,Velocity
-692.8,0.00949961,-1.27653
-702.47,0.00945078,-1.27653
-709.72,0.00935312,-1.27165
-716.98,0.0093043,-1.26677
-724.23,0.00920664,-1.27653
-731.48,0.00915781,-1.29606
-736.32,0.00906016,-1.31071
-741.16,0.0089625,-1.31559
-745.99,0.00891367,-1.33024
-753.25,0.00881602,-1.34977
-758.08,0.00876719,-1.38395
-762.92,0.00866953,-1.40348
-767.75,0.00857187,-1.3986
-770.17,0.00847422,-1.38884
-775.01,0.00842539,-1.38884
-782.26,0.00832773,-1.40837
-787.1,0.00823008,-1.42302
-789.52,0.00813242,-1.4279
-789.52,0.00808359,-1.4279
-789.52,0.00798594,-1.42302
-794.35,0.00788828,-1.44255
-799.19,0.00779063,-1.46208
-801.6,0.00769297,-1.48161
-801.6,0.00764414,-1.49137
-801.6,0.00749766,-1.50114
-804.02,0.0074,-1.51579
-811.28,0.00735117,-1.53044
-816.11,0.00730234,-1.53532
-820.95,0.00720469,-1.53532
-823.37,0.0070582,-1.52555
-828.2,0.00696055,-1.52555
-835.46,0.00686289,-1.53532
-842.71,0.00681406,-1.54997
-847.55,0.00671641,-1.56462
-854.8,0.00656992,-1.57438
-859.64,0.00652109,-1.58415
-866.89,0.00642344,-1.5988
-874.14,0.00632578,-1.60856
-881.4,0.00622813,-1.61833
-888.65,0.00613047,-1.61833
-895.91,0.00603281,-1.61345
-903.16,0.00593516,-1.60856
-910.41,0.0058375,-1.60856
-917.67,0.00573984,-1.61345
-924.92,0.00564219,-1.61345
-929.76,0.00554453,-1.61833
-937.01,0.00544688,-1.62321
-946.68,0.00534922,-1.65251
-956.35,0.00525156,-1.66716
-963.61,0.00510508,-1.67204
-970.86,0.00505625,-1.66227
-980.53,0.00495859,-1.66716
-992.62,0.00481211,-1.6818
-1002.3,0.00471445,-1.69157
-1007.13,0.0046168,-1.69157
-1014.39,0.00451914,-1.68669
-1021.64,0.00442148,-1.69645
-1036.15,0.00432383,-1.7111
-1043.4,0.00422617,-1.71598
-1053.07,0.00412852,-1.7111
-1060.33,0.00403086,-1.7111
-1067.58,0.0039332,-1.73063
-1077.25,0.00378672,-1.75505
-1086.93,0.00368906,-1.75505
-1094.18,0.00359141,-1.74528
-1099.02,0.00349375,-1.74528
-1106.27,0.00339609,-1.74528
-1115.94,0.00324961,-1.74528
-1123.19,0.00315195,-1.74528
-1130.45,0.0030543,-1.74528
-1135.28,0.00295664,-1.74528
-1142.54,0.00281016,-1.75016
-1147.37,0.00276133,-1.75016
-1154.63,0.00266367,-1.76481
-1161.88,0.00251719,-1.77458
-1166.72,0.00241953,-1.77946
-1173.97,0.00232188,-1.77458
-1178.81,0.00222422,-1.77458
-1183.64,0.00212656,-1.78434
-1190.9,0.00198008,-1.78923
-1195.73,0.00188242,-1.78434
-1200.57,0.00178477,-1.77458
-1205.41,0.00168711,-1.76481
-1210.24,0.00158945,-1.77458
-1215.08,0.00144297,-1.78923
-1219.91,0.00134531,-1.80387
-1224.75,0.00124766,-1.80387
-1229.59,0.00115,-1.80387
-1232,0.00105234,-1.80387
-1234.42,0.00090586,-1.80876
-1239.26,0.0008082,-1.80876
-1244.09,0.00071055,-1.81364
-1244.09,0.00061289,-1.81852
-1246.51,0.00051523,-1.81364
-1248.93,0.00036875,-1.80876
-1253.77,0.00027109,-1.80876
-1256.18,0.00017344,-1.80387
-1256.18,0.00007578,-1.79899
-1258.6,-0.00002187,-1.79899
-1263.44,-0.00016836,-1.79411
-1263.44,-0.00026602,-1.79899
-1265.86,-0.00036367,-1.80387
-1265.86,-0.00046133,-1.80387
-1265.86,-0.00060781,-1.80387
-1265.86,-0.00070547,-1.80876
-1268.27,-0.00080312,-1.80387
-1270.69,-0.00090078,-1.80387
-1270.69,-0.00099844,-1.79411
-1270.69,-0.00114492,-1.78923
-1270.69,-0.00124258,-1.78923
-1270.69,-0.00134023,-1.79411
-1270.69,-0.00143789,-1.79899
-1268.27,-0.00158437,-1.79899
-1268.27,-0.00168203,-1.79899
-1265.86,-0.00177969,-1.79411
-1265.86,-0.00187734,-1.79899
-1265.86,-0.001975,-1.79899
-1265.86,-0.00212148,-1.78923
-1263.44,-0.00221914,-1.77946
-1261.02,-0.0023168,-1.7697
-1258.6,-0.00241445,-1.76481
-1256.18,-0.00256094,-1.75993
-1256.18,-0.00265859,-1.75016
-1251.35,-0.00280508,-1.74528
-1248.93,-0.00285391,-1.75505
-1244.09,-0.00300039,-1.7697
-1241.68,-0.00309805,-1.77946
-1239.26,-0.0031957,-1.77946
-1236.84,-0.00329336,-1.77458
-1232,-0.00339102,-1.75993
-1227.17,-0.0035375,-1.74528
-1222.33,-0.00363516,-1.73552
-1217.5,-0.00373281,-1.73552
-1215.08,-0.00383047,-1.73063
-1207.82,-0.00392812,-1.72575
-1200.57,-0.00407461,-1.72087
-1195.73,-0.00417227,-1.7111
-1193.32,-0.00426992,-1.71598
-1188.48,-0.00436758,-1.72087
-1183.64,-0.00446523,-1.71598
-1176.39,-0.00456289,-1.70622
-1166.72,-0.00466055,-1.69645
-1161.88,-0.0047582,-1.70134
-1152.21,-0.00485586,-1.7111
-1147.37,-0.00495352,-1.7111
-1142.54,-0.00505117,-1.69157
-1137.7,-0.00514883,-1.66227
-1130.45,-0.00524648,-1.64762
-1123.19,-0.00539297,-1.64274
