Force,Displacement,Velocity
1.45436,-0.99844,1.74593
1.46161,-0.85195,1.7557
1.47129,-0.7543,1.77523
1.47854,-0.65664,1.78988
1.48579,-0.55898,1.78499
1.49305,-0.4125,1.76058
1.5003,-0.31484,1.74105
1.50514,-0.21719,1.72152
1.51481,-0.11953,1.72152
1.52206,-0.02187,1.7264
1.53173,0.07578,1.73616
1.53899,0.22227,1.76058
1.54624,0.31992,1.78011
1.55591,0.41758,1.79964
1.56317,0.51523,1.79964
1.57042,0.61289,1.78011
1.57768,0.71055,1.7557
1.58493,0.85703,1.72152
1.59218,0.95469,1.6971
1.59702,1.05234,1.69222
1.60669,1.19883,1.71663
1.61395,1.29648,1.74593
1.62362,1.34531,1.77523
1.63087,1.4918,1.78988
1.63813,1.54063,1.78499
1.64538,1.63828,1.76546
1.65022,1.78477,1.74105
1.65747,1.88242,1.71175
1.66231,1.98008,1.69222
1.66956,2.07773,1.68245
1.67923,2.17539,1.70198
1.68407,2.32188,1.73616
1.69374,2.41953,1.76546
1.70099,2.51719,1.78011
1.70825,2.61484,1.76546
1.71308,2.7125,1.73128
1.72034,2.81016,1.6971
1.72759,2.95664,1.67269
1.73243,3.0543,1.65316
1.7421,3.15195,1.66292
1.74935,3.24961,1.68245
1.75661,3.34727,1.71175
1.76386,3.44492,1.73616
1.7687,3.54258,1.74105
1.77595,3.64023,1.73128
1.7832,3.73789,1.70687
1.79046,3.83555,1.67269
1.79529,3.9332,1.64827
1.80255,4.07969,1.63363
1.8098,4.17734,1.62874
1.81706,4.275,1.63851
1.82431,4.37266,1.64827
1.83156,4.47031,1.65804
1.83882,4.56797,1.66292
1.84365,4.66563,1.65804
1.85091,4.76328,1.64827
1.85574,4.86094,1.63363
1.863,4.95859,1.62386
1.87025,5.05625,1.61898
1.8775,5.15391,1.60921
1.88476,5.25156,1.60433
1.88959,5.39805,1.60433
1.89685,5.44688,1.61898
1.9041,5.54453,1.62874
1.90894,5.64219,1.61898
1.91619,5.73984,1.59945
1.92345,5.8375,1.56527
1.92828,5.93516,1.54085
1.93554,6.03281,1.52132
1.94279,6.13047,1.51644
1.95004,6.22813,1.5262
1.95488,6.32578,1.54085
1.95972,6.42344,1.55062
1.96697,6.52109,1.55062
1.97181,6.61875,1.53597
1.97906,6.71641,1.52132
1.98389,6.81406,1.49691
1.99115,6.91172,1.48226
1.99598,6.96055,1.48226
2.00324,7.0582,1.49691
2.01049,7.15586,1.50179
2.01533,7.25352,1.49691
2.02258,7.35117,1.47249
2.02742,7.4,1.4432
2.03225,7.49766,1.41878
2.03709,7.59531,1.39437
2.04434,7.69297,1.3846
