Force,Displacement,Velocity
-10.93,0.01233164,-0.42692
-10.93,0.01233164,-0.44157
-13.35,0.01228281,-0.46598
-15.77,0.01223398,-0.48552
-18.18,0.01218516,-0.50505
-20.6,0.01218516,-0.5197
-18.18,0.01213633,-0.52946
-20.6,0.01213633,-0.54411
-25.44,0.0120875,-0.56852
-27.86,0.0120875,-0.58805
-30.27,0.01203867,-0.60759
-30.27,0.01194102,-0.61247
-32.69,0.01194102,-0.62223
-35.11,0.01189219,-0.63688
-37.53,0.01184336,-0.65641
-37.53,0.01179453,-0.67595
-39.94,0.0117457,-0.68571
-42.36,0.01169687,-0.69059
-44.78,0.01169687,-0.70524
-47.2,0.01164805,-0.72477
-47.2,0.01159922,-0.74919
-49.62,0.01155039,-0.76384
-49.62,0.01150156,-0.76872
-52.03,0.01145273,-0.7736
-52.03,0.01140391,-0.78825
-52.03,0.01135508,-0.79802
-54.45,0.01130625,-0.79802
-54.45,0.01125742,-0.79802
-54.45,0.01120859,-0.8029
-56.87,0.01115977,-0.81755
-61.71,0.01111094,-0.84684
-66.54,0.01106211,-0.88591
-73.8,0.01101328,-0.92497
-81.05,0.01096445,-0.94938
-83.47,0.01091562,-0.9738
-85.89,0.01081797,-0.98845
-85.89,0.01076914,-1.01286
-85.89,0.01072031,-1.02751
-88.3,0.01062266,-1.03727
-90.72,0.01057383,-1.05192
-95.56,0.010525,-1.06657
-95.56,0.01047617,-1.0861
-100.39,0.01037852,-1.10075
-105.23,0.01032969,-1.1154
-110.07,0.01023203,-1.13005
-112.48,0.0101832,-1.13493
-114.9,0.01013437,-1.1447
-117.32,0.01003672,-1.15934
-119.74,0.00998789,-1.17399
-122.16,0.00989023,-1.19352
-124.57,0.00984141,-1.19841
-124.57,0.00974375,-1.20817
-126.99,0.00969492,-1.22282
-129.41,0.00959727,-1.257
-134.25,0.00954844,-1.29118
-136.66,0.00945078,-1.30583
-139.08,0.00940195,-1.31071
-141.5,0.0093043,-1.31071
-146.34,0.00920664,-1.32048
-148.75,0.00915781,-1.33024
-153.59,0.00906016,-1.34001
-156.01,0.0089625,-1.34001
-156.01,0.00891367,-1.34001
-158.43,0.00881602,-1.34977
-160.84,0.00871836,-1.3693
-163.26,0.0086207,-1.3986
-165.68,0.00852305,-1.41813
-168.1,0.00847422,-1.4279
-168.1,0.00837656,-1.43278
-172.93,0.00827891,-1.44743
-175.35,0.00818125,-1.47184
-180.19,0.00813242,-1.49137
-180.19,0.00803477,-1.49626
-182.61,0.00793711,-1.49137
-185.02,0.00783945,-1.48161
-187.44,0.0077418,-1.48649
-192.28,0.00769297,-1.50114
-194.69,0.00759531,-1.51091
-194.69,0.00749766,-1.51579
-197.11,0.0074,-1.52067
-199.53,0.00730234,-1.5402
-201.95,0.00720469,-1.5695
