Damper Lab
Wed 16 Sep 2015 - 14/31/31
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.27197	11.35508	1.97542
0.26956	11.40391	1.88265
0.26714	11.55039	1.78988
0.26472	11.64805	1.70687
0.26230	11.74570	1.63363
0.25988	11.84336	1.56038
0.25747	11.94102	1.47249
0.25263	11.98984	1.37972
0.25021	12.08750	1.27718
0.24779	12.18516	1.18929
0.24296	12.23398	1.10628
0.24054	12.28281	1.03304
0.23812	12.33164	0.95491
0.23329	12.42930	0.86214
0.22845	12.42930	0.76937
0.22603	12.47812	0.68148
0.22361	12.52695	0.60823
0.21878	12.52695	0.53011
0.21152	12.57578	0.43734
0.20427	12.62461	0.32991
0.19702	12.62461	0.22738
0.18734	12.62461	0.14437
0.17767	12.62461	0.07113
0.16316	12.67344	0.01253
0.14140	12.62461	-0.03630
0.10513	12.62461	-0.09001
0.06403	12.62461	-0.15348
0.03018	12.62461	-0.23161
0.00358	12.57578	-0.31950
-0.01818	12.57578	-0.41227
-0.03027	12.52695	-0.49040
-0.03753	12.47812	-0.57341
-0.04962	12.42930	-0.67106
-0.06171	12.38047	-0.78825
-0.07621	12.38047	-0.91032
-0.09314	12.28281	-1.01774
-0.10523	12.23398	-1.11052
-0.11732	12.13633	-1.17399
-0.13183	12.08750	-1.24723
-0.15117	11.98984	-1.32048
-0.16810	11.89219	-1.41325
-0.18744	11.79453	-1.50602
-0.20678	11.74570	-1.59880
-0.22371	11.59922	-1.67692
-0.24064	11.50156	-1.75016
-0.25756	11.40391	-1.81852
-0.27449	11.30625	-1.87712
-0.29625	11.15977	-1.94059
-0.31559	11.06211	-2.01384
-0.33977	10.96445	-2.10173
-0.36153	10.81797	-2.17497
-0.38330	10.67148	-2.24333
-0.40506	10.52500	-2.29216
-0.42682	10.42734	-2.35563
-0.45100	10.28086	-2.42887
-0.47276	10.08555	-2.50212
-0.49694	9.93906	-2.57048
-0.51628	9.79258	-2.64372
-0.53805	9.64609	-2.71208
-0.55981	9.45078	-2.77067
-0.58157	9.30430	-2.81950
-0.60091	9.15781	-2.85368
-0.62509	8.96250	-2.90739
-0.65169	8.76719	-2.97575
-0.68312	8.57187	-3.03923
-0.71456	8.37656	-3.09294
-0.74841	8.23008	-3.14665
-0.78226	8.03477	-3.21012
-0.81611	7.83945	-3.27848
-0.85238	7.64414	-3.33708
-0.89107	7.44883	-3.37614
-0.92976	7.25352	-3.41032
-0.96361	7.05820	-3.44450
-0.99746	6.81406	-3.47380
-1.03615	6.61875	-3.51774
-1.07484	6.42344	-3.57634
-1.11111	6.17930	-3.63981
-1.14737	5.93516	-3.68376
-1.18364	5.73984	-3.72282
-1.21750	5.49570	-3.75700
-1.25135	5.30039	-3.80095
-1.28520	5.05625	-3.84489
-1.31663	4.81211	-3.86442
-1.34565	4.61680	-3.86442
-1.37466	4.37266	-3.87419
-1.40368	4.12852	-3.88884
-1.43511	3.88438	-3.91325
-1.46413	3.64023	-3.93766
