Damper Lab
Wed 16 Sep 2015 - 14/28/08
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.23329	-5.58828	1.68734
0.23329	-5.49062	1.68245
0.23570	-5.39297	1.68734
0.23570	-5.29531	1.70198
0.23812	-5.19766	1.70687
0.23570	-5.05117	1.69710
0.23812	-4.95352	1.68245
0.23570	-4.85586	1.68245
0.23812	-4.75820	1.70687
0.23812	-4.61172	1.73616
0.23812	-4.51406	1.77034
0.24054	-4.41641	1.78988
0.23812	-4.31875	1.79964
0.23812	-4.22109	1.79964
0.24054	-4.12344	1.79964
0.24054	-4.02578	1.78988
0.24296	-3.92812	1.77523
0.24054	-3.78164	1.76058
0.24054	-3.68398	1.75570
0.24054	-3.58633	1.76546
0.24296	-3.48867	1.78499
0.24296	-3.34219	1.81917
0.24296	-3.24453	1.84359
0.24296	-3.09805	1.84847
0.24296	-3.00039	1.85335
0.24538	-2.90273	1.86312
0.24538	-2.80508	1.87288
0.24538	-2.65859	1.86800
0.24538	-2.56094	1.84847
0.24296	-2.46328	1.81917
0.24538	-2.31680	1.81429
0.24538	-2.21914	1.81917
0.24538	-2.12148	1.83870
0.24538	-1.97500	1.85335
0.24538	-1.87734	1.86312
0.24538	-1.77969	1.87288
0.24538	-1.68203	1.89241
0.24779	-1.53555	1.91683
0.25021	-1.38906	1.93148
0.25021	-1.34023	1.92659
0.24779	-1.19375	1.90706
0.24779	-1.09609	1.87288
0.24779	-0.94961	1.85823
0.24779	-0.85195	1.85335
0.25021	-0.75430	1.85823
0.24779	-0.60781	1.86312
0.24779	-0.51016	1.87288
0.25021	-0.36367	1.87777
0.25021	-0.26602	1.89730
0.25021	-0.16836	1.92171
0.25263	-0.07070	1.93636
0.25263	0.07578	1.92659
0.25263	0.17344	1.90218
0.25263	0.27109	1.87777
0.25505	0.41758	1.86800
0.25505	0.56406	1.86312
0.25505	0.66172	1.85823
0.25505	0.75938	1.85823
0.25505	0.85703	1.87288
0.25505	1.00352	1.89730
0.25747	1.10117	1.92171
0.25747	1.19883	1.93636
0.25747	1.29648	1.93148
0.25747	1.39414	1.91195
0.25505	1.54063	1.88753
0.25747	1.68711	1.86800
0.25747	1.73594	1.86312
0.25747	1.88242	1.86312
0.25505	1.98008	1.84847
0.25505	2.12656	1.83382
0.25505	2.22422	1.83382
0.25747	2.32188	1.85335
0.25747	2.41953	1.87777
0.25747	2.56602	1.89241
0.25505	2.71250	1.88753
0.25505	2.76133	1.87777
0.25747	2.85898	1.86800
0.25988	3.00547	1.86312
0.25988	3.10313	1.84847
0.25988	3.20078	1.81917
0.25747	3.34727	1.79476
0.25988	3.44492	1.78499
0.25988	3.54258	1.79964
0.26230	3.68906	1.81917
0.25988	3.78672	1.83382
0.25747	3.93320	1.82894
0.25505	4.03086	1.82405
0.25505	4.12852	1.82894
0.25505	4.22617	1.82894
0.25505	4.32383	1.82894
0.25505	4.42148	1.80452
0.25263	4.56797	1.78011
0.25263	4.66563	1.75570
0.25505	4.76328	1.75570
0.25505	4.86094	1.76058
0.25505	5.00742	1.76058
0.25505	5.10508	1.74593
0.25263	5.20273	1.72152
0.25505	5.34922	1.71175
0.25263	5.44688	1.71663
0.25505	5.54453	1.73128
0.25263	5.64219	1.72640
0.25263	5.73984	1.70687
0.25263	5.83750	1.69222
0.25263	5.93516	1.69222
0.25505	6.08164	1.70198
0.25263	6.17930	1.70687
0.25263	6.27695	1.69222
0.25263	6.32578	1.66292
0.25263	6.42344	1.63851
0.25263	6.56992	1.62874
0.25263	6.66758	1.62386
0.25263	6.76523	1.61898
0.25021	6.86289	1.60433
0.25021	6.96055	1.58968
0.25021	7.05820	1.58480
0.25021	7.15586	1.58968
0.25021	7.25352	1.59945
0.25021	7.35117	1.60433
0.24779	7.44883	1.58480
0.24779	7.54648	1.56527
0.25021	7.64414	1.55550
0.25021	7.69297	1.55062
0.25021	7.79063	1.53597
0.24779	7.88828	1.50179
0.24779	7.98594	1.46761
0.24779	8.08359	1.44320
0.24779	8.18125	1.43831
0.24779	8.27891	1.44320
0.24538	8.37656	1.43831
0.24538	8.42539	1.42855
0.24538	8.52305	1.42366
0.24538	8.62070	1.42855
0.24538	8.71836	1.43343
0.24538	8.81602	1.43343
0.24538	8.86484	1.41390
0.24296	8.96250	1.37972
0.24296	9.01133	1.34554
0.24296	9.10898	1.33089
0.24538	9.15781	1.31624
0.24296	9.25547	1.30159
0.24296	9.35312	1.27718
0.24054	9.40195	1.25277
0.24296	9.49961	1.24300
