Damper Lab
Wed 16 Sep 2015 - 14/30/29
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.21394	12.52695	0.26644
0.21152	12.52695	0.23714
0.20669	12.52695	0.20784
0.20427	12.57578	0.19320
0.20427	12.57578	0.18831
0.20185	12.57578	0.18831
0.20185	12.57578	0.17366
0.19702	12.57578	0.14925
0.19218	12.62461	0.12972
0.18976	12.62461	0.11507
0.18493	12.62461	0.11507
0.18493	12.62461	0.10530
0.18009	12.62461	0.08089
0.17525	12.67344	0.04671
0.16800	12.62461	0.02230
0.16316	12.62461	0.00765
0.15591	12.62461	-0.00212
0.14866	12.67344	-0.01677
0.13898	12.62461	-0.03630
0.12448	12.62461	-0.05095
0.10755	12.62461	-0.06559
0.08821	12.62461	-0.07048
0.06886	12.62461	-0.08024
0.04952	12.62461	-0.09489
0.03259	12.57578	-0.11930
0.02050	12.57578	-0.13884
0.01083	12.57578	-0.16813
0.00600	12.57578	-0.20231
0.00358	12.57578	-0.23161
0.00116	12.52695	-0.26091
0.00116	12.52695	-0.28044
-0.00126	12.52695	-0.30973
-0.00126	12.47812	-0.33415
-0.00126	12.47812	-0.34880
0.00116	12.42930	-0.34880
-0.00126	12.42930	-0.35368
-0.00368	12.38047	-0.36833
-0.00851	12.38047	-0.39274
-0.01093	12.33164	-0.41227
-0.01093	12.33164	-0.42692
-0.01093	12.33164	-0.44157
-0.01335	12.28281	-0.46598
-0.01577	12.23398	-0.48552
-0.01818	12.18516	-0.50505
-0.02060	12.18516	-0.51970
-0.01818	12.13633	-0.52946
-0.02060	12.13633	-0.54411
-0.02544	12.08750	-0.56852
-0.02786	12.08750	-0.58805
-0.03027	12.03867	-0.60759
-0.03027	11.94102	-0.61247
-0.03269	11.94102	-0.62223
-0.03511	11.89219	-0.63688
-0.03753	11.84336	-0.65641
-0.03753	11.79453	-0.67595
-0.03994	11.74570	-0.68571
-0.04236	11.69687	-0.69059
-0.04478	11.69687	-0.70524
-0.04720	11.64805	-0.72477
-0.04720	11.59922	-0.74919
-0.04962	11.55039	-0.76384
-0.04962	11.50156	-0.76872
-0.05203	11.45273	-0.77360
-0.05203	11.40391	-0.78825
-0.05203	11.35508	-0.79802
-0.05445	11.30625	-0.79802
-0.05445	11.25742	-0.79802
-0.05445	11.20859	-0.80290
-0.05687	11.15977	-0.81755
-0.06171	11.11094	-0.84684
-0.06654	11.06211	-0.88591
-0.07380	11.01328	-0.92497
-0.08105	10.96445	-0.94938
-0.08347	10.91562	-0.97380
-0.08589	10.81797	-0.98845
-0.08589	10.76914	-1.01286
-0.08589	10.72031	-1.02751
-0.08830	10.62266	-1.03727
-0.09072	10.57383	-1.05192
-0.09556	10.52500	-1.06657
-0.09556	10.47617	-1.08610
-0.10039	10.37852	-1.10075
-0.10523	10.32969	-1.11540
-0.11007	10.23203	-1.13005
-0.11248	10.18320	-1.13493
-0.11490	10.13437	-1.14470
-0.11732	10.03672	-1.15934
-0.11974	9.98789	-1.17399
-0.12216	9.89023	-1.19352
-0.12457	9.84141	-1.19841
-0.12457	9.74375	-1.20817
-0.12699	9.69492	-1.22282
-0.12941	9.59727	-1.25700
-0.13425	9.54844	-1.29118
-0.13666	9.45078	-1.30583
-0.13908	9.40195	-1.31071
-0.14150	9.30430	-1.31071
-0.14634	9.20664	-1.32048
-0.14875	9.15781	-1.33024
-0.15359	9.06016	-1.34001
-0.15601	8.96250	-1.34001
-0.15601	8.91367	-1.34001
-0.15843	8.81602	-1.34977
-0.16084	8.71836	-1.36930
-0.16326	8.62070	-1.39860
-0.16568	8.52305	-1.41813
-0.16810	8.47422	-1.42790
-0.16810	8.37656	-1.43278
-0.17293	8.27891	-1.44743
-0.17535	8.18125	-1.47184
-0.18019	8.13242	-1.49137
-0.18019	8.03477	-1.49626
-0.18261	7.93711	-1.49137
-0.18502	7.83945	-1.48161
-0.18744	7.74180	-1.48649
-0.19228	7.69297	-1.50114
-0.19469	7.59531	-1.51091
-0.19469	7.49766	-1.51579
-0.19711	7.40000	-1.52067
-0.19953	7.30234	-1.54020
-0.20195	7.20469	-1.56950
-0.20195	7.10703	-1.59880
-0.20437	7.00938	-1.61345
-0.20437	6.91172	-1.61833
-0.20437	6.81406	-1.62321
-0.20678	6.71641	-1.63298
-0.21162	6.61875	-1.64762
-0.21404	6.52109	-1.64274
-0.21646	6.42344	-1.62809
-0.21887	6.32578	-1.61833
-0.22129	6.22813	-1.62321
-0.22371	6.13047	-1.64274
-0.22613	5.98398	-1.66227
-0.22613	5.93516	-1.67692
-0.22613	5.78867	-1.68180
-0.22613	5.69102	-1.69645
-0.22855	5.59336	-1.72087
-0.23096	5.49570	-1.74040
-0.23096	5.39805	-1.75016
-0.23580	5.30039	-1.74528
-0.23822	5.15391	-1.73063
-0.24064	5.10508	-1.71598
-0.24064	4.95859	-1.71110
-0.24547	4.86094	-1.73063
-0.24789	4.76328	-1.75505
-0.24789	4.66563	-1.76970
-0.24789	4.51914	-1.76970
-0.24789	4.42148	-1.77458
-0.25031	4.32383	-1.79411
-0.25273	4.22617	-1.81852
-0.25273	4.07969	-1.81852
-0.25273	4.03086	-1.80387
-0.25273	3.88438	-1.78923
-0.25756	3.78672	-1.78923
-0.25998	3.68906	-1.79899
-0.26240	3.59141	-1.80387
-0.26240	3.44492	-1.80387
-0.26482	3.29844	-1.81364
-0.26482	3.20078	-1.82341
-0.26723	3.10313	-1.84294
-0.26723	3.00547	-1.86247
